Название;Цена;Наличие
Название;Цена;Наличие
Ноутбук Lenovo IdeaPad Gaming 3i Intel Core i5-10300H 8GB DDR4 512GB SSD Nvidia GTX 1650Ti 4GB FHD черный;90020 сом;На складе
Ноутбук HP Omen15t-dh100 Intel Core i7-10750H 8GB DDR4 512GB SSD Nvidia GTX 1650Ti 4GB GDDR5 FHD черный;108630 сом;На складе
Ноутбук HP Omen15t-dh100 Intel Core i7-10750H 8GB DDR4 512GB SSD Nvidia GTX 2070 8GB GDDR5 FHD черный;157350 сом;На складе
Ноутбук MSI GL65 Leopard 10SCSR-081XRU 9S7-16U822-081 Intel Core i7-10750H 8GB DDR4 1000GB HDD + 256 SSD Nvidai GTX GTX1650Ti 4GB FHD черный;115560 сом;На складе
Ноутбук Haier A1400ED Intel Celeron N3350 4GB DDR4 64GB EMMC DOS Black;22580 сом;На складе
Ноутбук Acer Extensa EX215-31-C6VF Intel Celeron N4020 4GB DDR4 256GB SSD FHD DOS Shale Black;38350 сом;На складе
Ноутбук Haier A1400EM Intel Celeron N3350 4GB DDR4 64GB EMMC W10 Grey;25140 сом;На складе
Ноутбук MSI GF63 Thin 9SCSR-899XRU 9S7-16R412-899 Intel Core i7-9750H 16GB DDR4 512GB SSD NVIDIA GTX 1650Ti 4GB FHD черный;111660 сом;На складе
Ноутбук Acer Extensa EX215-31-P5LC Intel Pentium N5030 8GB DDR4 256GB SSD FHD DOS Black;40960 сом;На складе
Ноутбук Haier U1500EM Intel Celeron N4000 4GB DDR4 64GB EMMC W10 Grey;27170 сом;На складе
Ноутбук Haier U1500SM Intel Celeron N4000 4GB DDR4 128GB SSD + 64GB EMMC W10 Blue;33200 сом;На складе
Ноутбук Haier U1500HD Intel Celeron N4000 4GB DDR4 1000GB HDD + 64GB EMMC DOS Black;30150 сом;На складе
Ноутбук Haier U1500SD Intel Celeron N4000 4GB DDR4 128GB SSD + 64GB EMMC DOS Blue;27170 сом;На складе
Ноутбук Asus M570DD-DM057 AMD Ryzen 7 3700U 8GB DDR4 512GB SSD NVIDIA GTX1050 FHD DOS черный;77880 сом;На складе
Ноутбук Lenovo Yoga 730-13IWL, 8GB, 256GB SSD;84820 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD Intel HD Graphics 620 HD серый;42620 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 HD серый;44880 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 HD серый;46620 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 240GB SSD Intel HD Graphics 620 HD серый;43570 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 480GB SSD Intel HD Graphics 620 HD серый;45590 сом-0%45400 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 12GB DDR4 120GB SSD Intel UHD Graphics HD серый;53490 сом-1%52710 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 12GB DDR4 240GB SSD Intel UHD Graphics HD серый;54760 сом-1%54010 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 12GB DDR4 480GB SSD Intel UHD Graphics HD серый;56460 сом-1%55750 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 12GB DDR4 1000GB HDD Intel UHD Graphics HD серый;53490 сом-1%52710 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 12GB DDR4 1000GB HDD + 128GB SSD Intel UHD Graphics HD серый;54760 сом-1%54010 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 12GB DDR4 1000GB HDD + 256GB SSD Intel UHD Graphics HD серый;56460 сом-1%55750 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 20GB DDR4 120GB SSD Intel UHD Graphics HD серый;55620 сом-1%54880 сом;На складе
Ноутбук Asus TUF Gaming FX705DT AMD Ryzen 7 3750H 8GB DDR4 1000GB HDD + 256GB SSD Nvidia GeForce GTX 1650 FHD черный;82650 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 20GB DDR4 240GB SSD Intel UHD Graphics HD серый;56880 сом-1%56190 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 20GB DDR4 480GB SSD Intel UHD Graphics HD серый;59010 сом-1%58360 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 20GB DDR4 1000GB HDD Intel UHD Graphics HD серый;55620 сом-1%54880 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 20GB DDR4 1000GB HDD + 128GB SSD Intel UHD Graphics HD серый;57140 сом-1%56450 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 20GB DDR4 1000GB HDD + 256GB SSD Intel UHD Graphics HD серый;59010 сом-1%58360 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 4GB DDR4 120GB SSD Intel UHD Graphics HD серый;50520 сом-2%49670 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 4GB DDR4 240GB SSD Intel UHD Graphics HD серый;51960 сом-2%51140 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 4GB DDR4 480GB SSD Intel UHD Graphics HD серый;54000 сом-2%53140 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 4GB DDR4 1000GB HDD Intel UHD Graphics HD серый;50520 сом-2%49670 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 4GB DDR4 1000GB HDD + 128GB SSD Intel UHD Graphics HD серый;52130 сом-2%51320 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 4GB DDR4 1000GB HDD + 256GB SSD Intel UHD Graphics HD серый;53910 сом-1%53140 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 500GB HDD Black;40350 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 8GB DDR4 120GB SSD Intel UHD Graphics HD серый;52210 сом-2%51400 сом;На складе
Ноутбук Acer Aspire 3 A315-23 AMD Athlon 3050U 8GB DDR4 512GB SSD RADEON VEGA 3 FHD W10 черный;51270 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 500GB HDD Black;42360 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 8GB DDR4 240GB SSD Intel UHD Graphics HD серый;53490 сом-1%52710 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 500GB HDD Black;44710 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 8GB DDR4 480GB SSD Intel UHD Graphics HD серый;55620 сом-1%54880 сом;На складе
Ноутбук Asus X509JB-EJ010 Intel Core i5-1035G1 8GB DDR4 1000GB HDD NVIDIA MX110 FHD DOS Grey;64000 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 1000GB HDD Black;40610 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 8GB DDR4 1000GB HDD Intel UHD Graphics HD серый;52640 сом-2%51750 сом;На складе
Ноутбук Asus X509JB-EJ010 Intel Core i5-1035G1 8GB DDR4 1000GB HDD + 120GB SSD NVIDIA MX110 FHD DOS Grey;66170 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 1000GB HDD Black;42620 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 8GB DDR4 1000GB HDD + 128GB SSD Intel UHD Graphics HD серый;53910 сом-1%53140 сом;На складе
Ноутбук Asus X509JB-EJ010 Intel Core i5-1035G1 8GB DDR4 240GB SSD NVIDIA MX110 FHD DOS Grey;64870 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 1000GB HDD Black;45050 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 8GB DDR4 1000GB HDD + 256GB SSD Intel UHD Graphics HD серый;55620 сом-1%54880 сом;На складе
Ноутбук Asus X509JB-EJ010 Intel Core i5-1035G1 8GB DDR4 256GB SSD NVIDIA MX110 FHD DOS Grey;65300 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 16GB DDR4 1000GB HDD Black;47660 сом;На складе
Ноутбук Asus X509JB-EJ010 Intel Core i5-1035G1 8GB DDR4 512GB SSD NVIDIA MX110 FHD DOS Grey;67910 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 120GB SSD Black;40610 сом;На складе
Ноутбук HP Pavilion x360 14-cd1055cl Intel Core i5-8265U 8GB DDR4 256GB SSD FHD W10 Silver;72250 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 120GB SSD Black;42620 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 120GB SSD Black;45050 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 16GB DDR4 120GB SSD Black;47660 сом;На складе
Ноутбук Lenovo Ideapad S145-15API AMD 3020e 4GB DDR4 240GB SSD AMD Radeon Graphics HD серебристый;33550 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 256GB SSD Black;41490 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 256GB SSD Black;43490 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 256GB SSD Black;45920 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 16GB DDR4 256GB SSD Black;48620 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 512GB SSD Black;43230 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 512GB SSD Black;45230 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 512GB SSD Black;47660 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 16GB DDR4 512GB SSD Black;50360 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 500GB HDD + 120GB SSD Black;42960 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 500GB HDD + 120GB SSD Black;45140 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 500GB HDD + 120GB SSD Black;47320 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 500GB HDD + 256GB SSD Black;44020 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 500GB HDD + 256GB SSD Black;46270 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 500GB HDD + 256GB SSD Black;48540 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 1000GB HDD + 120GB SSD Black;43230 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 120GB SSD Black;45580 сом;На складе
Ноутбук Acer Aspire 3 A315-23-A5B1 NX.HVTER.013 AMD Athlon 3020e 4GB DDR4 256GB SSD AMD Radeon Vega Graphics FHD W10 черный;40090 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 120GB SSD Black;47750 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 16GB DDR4 1000GB HDD + 120GB SSD Black;50360 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 1000GB HDD + 256GB SSD Black;44450 сом;На складе
Ноутбук Lenovo IdeaPad Gaming 3 81Y4001XUS Intel Core i5-10300H 8GB DDR4 256GB SSD Nvidia GTX 1650Ti 4GB FHD черный;86980 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 256GB SSD Black;46710 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 256GB SSD Black;48980 сом;На складе
Ноутбук Acer Aspire 3 A315-23-R6VQ NX.HVTER.014 AMD Athlon Silver 3050U 4GB DDR4 512GB SSD AMD Radeon Vega Graphics FHD черный;42700 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 16GB DDR4 1000GB HDD + 256GB SSD Black;51670 сом;На складе
Ноутбук Dell Latitude 14 3400 series NRJ36 Intel Core i5-8265U 8GB DDR4 500GB HDD Intel UHD Graphics 620 HD черный;65300 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 1000GB HDD + 512GB SSD Black;46190 сом;На складе
Ноутбук Acer Extensa EX215-22-R2BT AMD Athlon 3050U 4GB DDR4 128GB SSD FHD DOS Black;38960 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 512GB SSD Black;48190 сом;На складе
Ноутбук Acer Extensa EX215-22-R53Z AMD Athlon 3050U 4GB DDR4 256GB SSD FHD DOS Black;40450 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 512GB SSD Black;50800 сом;На складе
Ноутбук Acer Extensa EX215-22-R1NG AMD Ryzen 5 3500U 8GB DDR4 512GB SSD RADEON R625 FHD DOS Black;69990 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 16GB DDR4 1000GB HDD + 512GB SSD Black;53580 сом;На складе
Ноутбук Acer Extensa EX215-22-R5TQ AMD Ryzen 5 3500U 8GB DDR4 256GB SSD RADEON R625 FHD DOS Black;67210 сом;На складе
Ноутбук Asus X515M Intel Celeron N4020 4GB DDR4 128GB SSD FHD DOS Grey;32420 сом;На складе
Ноутбук Acer Extensa EX215-22-R2FZ AMD Ryzen 5 3500U 8GB DDR4 1000GB HDD + 256GB SSD RADEON R625 FHD DOS Black;69990 сом;На складе
Ноутбук HP Pavilion Gaming 16-a0046nr 225L5UA#ABA Intel Core i7-10750H 8GB DDR4 256GB SSD Nvidia GTX1650Ti 4GB FHD черный;105610 сом;На складе
Ноутбук Acer Aspire 3 A315-42G-R9XV AMD Ryzen 7 3700U 8GB DDR4 256GB SSD RADEON 540X FHD DOS Shale Black;65300 сом;На складе
Ноутбук HP 17-BY3053CL Intel Core i5-1035G1 12GB DDR4 1000GB HDD DVDRW FHD W10 Silver;77020 сом;На складе
